target_date,location,count
2025-03-16,AK,0
2025-03-17,AK,0
2025-03-18,AK,0
2025-03-19,AK,0
2025-03-20,AK,0
2025-03-21,AK,0
2025-03-22,AK,0
2025-03-23,AK,0
2025-03-24,AK,0
2025-03-25,AK,0
2025-03-26,AK,0
2025-03-27,AK,0
2025-03-28,AK,0
2025-03-29,AK,0
2025-03-30,AK,0
2025-03-31,AK,0
2025-04-01,AK,0
2025-04-02,AK,0
2025-04-03,AK,0
2025-04-04,AK,0
2025-04-05,AK,0
2025-04-06,AK,0
2025-04-07,AK,0
2025-04-08,AK,0
2025-04-09,AK,0
2025-04-10,AK,0
2025-04-11,AK,0
2025-04-12,AK,0
2025-04-13,AK,0
2025-04-14,AK,0
2025-04-15,AK,0
2025-04-16,AK,0
2025-03-16,AL,0
2025-03-17,AL,0
2025-03-18,AL,0
2025-03-19,AL,0
2025-03-20,AL,0
2025-03-21,AL,0
2025-03-22,AL,0
2025-03-23,AL,0
2025-03-24,AL,0
2025-03-25,AL,1
2025-03-26,AL,1
2025-03-27,AL,0
2025-03-28,AL,0
2025-03-29,AL,0
2025-03-30,AL,0
2025-03-31,AL,0
2025-04-01,AL,0
2025-04-02,AL,0
2025-04-03,AL,0
2025-04-04,AL,0
2025-04-05,AL,0
2025-04-06,AL,0
2025-04-07,AL,0
2025-04-08,AL,0
2025-04-09,AL,0
2025-04-10,AL,0
2025-04-11,AL,0
2025-04-12,AL,0
2025-04-13,AL,0
2025-04-14,AL,0
2025-04-15,AL,0
2025-04-16,AL,0
2025-03-16,AR,0
2025-03-17,AR,0
2025-03-18,AR,0
2025-03-19,AR,0
2025-03-20,AR,0
2025-03-21,AR,0
2025-03-22,AR,0
2025-03-23,AR,0
2025-03-24,AR,0
2025-03-25,AR,0
2025-03-26,AR,0
2025-03-27,AR,0
2025-03-28,AR,0
2025-03-29,AR,0
2025-03-30,AR,0
2025-03-31,AR,0
2025-04-01,AR,0
2025-04-02,AR,0
2025-04-03,AR,0
2025-04-04,AR,0
2025-04-05,AR,0
2025-04-06,AR,0
2025-04-07,AR,0
2025-04-08,AR,0
2025-04-09,AR,0
2025-04-10,AR,0
2025-04-11,AR,0
2025-04-12,AR,0
2025-04-13,AR,0
2025-04-14,AR,0
2025-04-15,AR,0
2025-04-16,AR,0
2025-03-16,AZ,0
2025-03-17,AZ,3
2025-03-18,AZ,1
2025-03-19,AZ,0
2025-03-20,AZ,1
2025-03-21,AZ,1
2025-03-22,AZ,2
2025-03-23,AZ,1
2025-03-24,AZ,2
2025-03-25,AZ,0
2025-03-26,AZ,0
2025-03-27,AZ,0
2025-03-28,AZ,2
2025-03-29,AZ,0
2025-03-30,AZ,0
2025-03-31,AZ,0
2025-04-01,AZ,0
2025-04-02,AZ,0
2025-04-03,AZ,0
2025-04-04,AZ,0
2025-04-05,AZ,0
2025-04-06,AZ,0
2025-04-07,AZ,0
2025-04-08,AZ,0
2025-04-09,AZ,0
2025-04-10,AZ,0
2025-04-11,AZ,0
2025-04-12,AZ,0
2025-04-13,AZ,0
2025-04-14,AZ,0
2025-04-15,AZ,0
2025-04-16,AZ,0
2025-03-16,CA,8
2025-03-17,CA,12
2025-03-18,CA,5
2025-03-19,CA,8
2025-03-20,CA,4
2025-03-21,CA,0
2025-03-22,CA,0
2025-03-23,CA,0
2025-03-24,CA,1
2025-03-25,CA,0
2025-03-26,CA,0
2025-03-27,CA,0
2025-03-28,CA,0
2025-03-29,CA,0
2025-03-30,CA,0
2025-03-31,CA,0
2025-04-01,CA,0
2025-04-02,CA,0
2025-04-03,CA,0
2025-04-04,CA,0
2025-04-05,CA,0
2025-04-06,CA,0
2025-04-07,CA,0
2025-04-08,CA,0
2025-04-09,CA,0
2025-04-10,CA,0
2025-04-11,CA,0
2025-04-12,CA,0
2025-04-13,CA,0
2025-04-14,CA,0
2025-04-15,CA,0
2025-04-16,CA,0
2025-03-16,CO,5
2025-03-17,CO,13
2025-03-18,CO,8
2025-03-19,CO,8
2025-03-20,CO,5
2025-03-21,CO,5
